Genus,Species,Tissue,LATITUDE,LONGITUDE,DATE,SAMPLE_TYP,NUMBER_IN_,MEAN_LENGT,TOTAL_LENG,MEAN_WEIGH,TOTAL_WEIG,MERCURY_BA,HG_CONCENT,FILLET_CON,DRY_WET_CO,WET_FILLET
Salmo,salar,Whole body,45.11056,-67.175,1993-05-01,Composite,2,374,,460,,Wet,0.38,0.54285,,0.54285
Salmo,salar,"Fillet, skin off",45.11056,-67.175,1993-05-01,Composite,3,393,,558,,Wet,0.35,,,0.35
Catostomus,commersoni,Whole body,45.11056,-67.175,1993-05-01,Composite,5,423,,778,,Wet,0.074,0.10571,,0.10571
Esox,niger,"Fillet, skin off",44.76889,-67.24889,1993-06-01,Composite,5,459,,547,,Wet,0.86,,,0.86
Esox,niger,Whole body,44.76889,-67.24889,1993-06-01,Composite,5,367,,259,,Wet,0.52,0.74285,,0.74285
Catostomus,commersoni,Whole body,44.76889,-67.24889,1993-06-01,Composite,5,409,,735,,Wet,0.22,0.31428,,0.31428
Micropterus,dolomieui,"Fillet, skin off",45.07417,-67.36194,1993-06-01,Composite,5,310,,356,,Wet,0.32,,,0.32
Micropterus,dolomieui,Whole body,45.07417,-67.36194,1993-06-01,Composite,5,331,,472,,Wet,0.21,0.3,,0.3
Micropterus,dolomieui,"Fillet, skin off",45.06639,-67.48611,1993-09-01,Composite,5,344,,606,,Wet,0.48,,,0.48
Micropterus,dolomieui,Whole body,45.06639,-67.48611,1993-09-01,Composite,5,351,,704,,Wet,0.42,0.6,,0.6
Catostomus,commersoni,Whole body,45.06639,-67.48611,1993-09-01,Composite,5,415,,798,,Wet,0.13,0.18571,,0.18571
Salmo,salar,"Fillet, skin off",45.54889,-67.55417,1993-10-01,Composite,5,423,,679,,Wet,0.45,,,0.45
Salmo,salar,Whole body,45.54889,-67.55417,1993-10-01,Composite,5,417,,700,,Wet,0.39,0.55714,,0.55714
Catostomus,commersoni,Whole body,45.54889,-67.55417,1993-10-01,Composite,5,424,,960,,Wet,0.28,0.4,,0.4
Esox,niger,Whole body,45.01444,-67.79278,1993-06-01,Composite,3,422,,447,,Wet,0.42,0.6,,0.6
Esox,niger,"Fillet, skin off",45.01444,-67.79278,1993-07-01,Composite,5,362,,281,,Wet,0.58,,,0.58
Catostomus,commersoni,Whole body,45.01444,-67.79278,1993-06-01,Composite,5,452,,872,,Wet,0.15,0.21428,,0.21428
Salvelinus,fontinalis,Whole body,46.70417,-67.80139,1993-09-01,Composite,1,293,,270,,Wet,0.34,0.48571,,0.48571
Catostomus,commersoni,Whole body,46.70417,-67.80139,1993-09-01,Composite,5,358,,403,,Wet,0.28,0.4,,0.4
Salvelinus,namaycush,"Fillet, skin off",45.23222,-67.80167,1993-08-01,Composite,2,507,,1060,,Wet,0.28,,,0.28
Salvelinus,namaycush,Whole body,45.23222,-67.80167,1993-08-01,Composite,2,494,,1025,,Wet,0.47,0.67142,,0.67142
Catostomus,commersoni,Whole body,45.23222,-67.80167,1993-08-01,Composite,4,501,,1395,,Wet,0.23,0.32857,,0.32857
Salvelinus,fontinalis,"Fillet, skin off",46.40111,-67.82444,1993-06-01,Composite,5,266,,204,,Wet,0.56,,,0.56
Salvelinus,fontinalis,Whole body,46.40111,-67.82444,1993-06-01,Composite,5,267,,222,,Wet,0.45,0.64285,,0.64285
Catostomus,commersoni,Whole body,46.40111,-67.82444,1993-06-01,Composite,5,338,,409,,Wet,0.057,0.08142,,0.08142
Micropterus,dolomieui,"Fillet, skin off",45.50889,-67.83389,1993-06-01,Composite,5,320,,438,,Wet,0.79,,,0.79
Micropterus,dolomieui,Whole body,45.50889,-67.83389,1993-06-01,Composite,5,332,,462,,Wet,0.56,0.8,,0.8
Catostomus,commersoni,Whole body,45.50889,-67.83389,1993-06-01,Composite,5,408,,755,,Wet,0.002,0.00285,,0.00285
Micropterus,dolomieui,"Fillet, skin off",45.74556,-67.85944,1993-06-01,Composite,5,344,,554,,Wet,0.31,,,0.31
Micropterus,dolomieui,Whole body,45.74556,-67.85944,1993-06-01,Composite,5,350,,601,,Wet,0.26,0.37142,,0.37142
Catostomus,commersoni,Whole body,45.74556,-67.85944,1993-06-01,Composite,5,416,,834,,Wet,0.083,0.11857,,0.11857
Salmo,salar,"Fillet, skin off",45.35917,-67.91944,1993-10-01,Composite,5,423,,700,,Wet,0.41,,,0.41
Catostomus,commersoni,Whole body,45.35917,-67.91944,1993-10-01,Composite,5,390,,620,,Wet,0.33,0.47142,,0.47142
Salmo,salar,Whole body,45.35917,-67.91944,1993-10-01,Composite,5,407,,600,,Wet,0.27,0.38571,,0.38571
Esox,niger,"Fillet, skin off",45.1275,-68.00722,1993-06-01,Composite,5,445,,462,,Wet,1.12,,,1.12
Esox,niger,Whole body,45.1275,-68.00722,1993-06-01,Composite,5,455,,484,,Wet,1.2,1.71429,,1.71429
Catostomus,commersoni,Whole body,45.1275,-68.00722,1993-06-01,Composite,5,423,,848,,Wet,0.75,1.07143,,1.07143
Salmo,trutta,Whole body,46.13611,-68.00861,1993-06-01,Composite,1,360,,490,,Wet,0.34,0.48571,,0.48571
Perca,flavescens,"Fillet, skin off",46.13611,-68.00861,1993-06-01,Composite,2,207,,91,,Wet,0.81,,,0.81
Catostomus,commersoni,Whole body,46.13611,-68.00861,1993-06-01,Composite,5,462,,1029,,Wet,0.24,0.34285,,0.34285
Morone,americana,"Fillet, skin off",45.31,-68.05472,1993-06-01,Composite,5,292,,292,,Wet,1.05,,,1.05
Morone,americana,Whole body,45.31,-68.05472,1993-06-01,Composite,5,267,,219,,Wet,0.77,1.1,,1.1
Catostomus,commersoni,Whole body,45.31,-68.05472,1993-06-01,Composite,5,452,,1030,,Wet,0.24,0.34285,,0.34285
Morone,americana,Whole body,45.01806,-68.06444,1993-07-01,Composite,2,296,,330,,Wet,0.42,0.6,,0.6
Morone,americana,"Fillet, skin off",45.01806,-68.06444,1993-07-01,Composite,3,336,,570,,Wet,0.8,,,0.8
Catostomus,commersoni,Whole body,45.01806,-68.06444,1993-07-01,Composite,5,445,,806,,Wet,0.15,0.21428,,0.21428
Esox,niger,Whole body,44.96222,-68.08528,1993-06-01,Composite,2,604,,920,,Wet,0.83,1.18571,,1.18571
Esox,niger,"Fillet, skin off",44.96222,-68.08528,1993-06-01,Composite,3,615,,1280,,Wet,1.08,,,1.08
Catostomus,commersoni,Whole body,44.96222,-68.08528,1993-06-01,Composite,5,435,,929,,Wet,0.19,0.27142,,0.27142
Salmo,salar,"Fillet, skin off",45.15,-68.09306,1993-10-01,Composite,5,453,,881,,Wet,0.22,,,0.22
Catostomus,commersoni,Whole body,45.15,-68.09306,1993-10-01,Composite,5,460,,1050,,Wet,1.2,1.71429,,1.71429
Salmo,salar,Whole body,45.15,-68.09306,1993-10-01,Composite,5,445,,894,,Wet,0.21,0.3,,0.3
Salvelinus,fontinalis,"Fillet, skin off",44.34556,-68.23889,1993-06-01,Composite,2,237,,140,,Wet,0.1,,,0.1
Salvelinus,fontinalis,Whole body,44.34556,-68.23889,1993-06-01,Composite,2,306,,293,,Wet,0.45,0.64285,,0.64285
Salmo,salar,"Fillet, skin off",44.9,-68.24583,1993-09-01,Composite,3,383,,547,,Wet,0.43,,,0.43
Salmo,salar,Whole body,44.9,-68.24583,1993-09-01,Composite,3,340,,438,,Wet,0.32,0.45714,,0.45714
Catostomus,commersoni,Whole body,44.9,-68.24583,1993-08-01,Composite,5,390,,641,,Wet,0.15,0.21428,,0.21428
Salvelinus,fontinalis,Whole body,44.92361,-68.26639,1993-05-01,Composite,4,372,,611,,Wet,0.62,0.88571,,0.88571
Salvelinus,fontinalis,"Fillet, skin off",44.92361,-68.26639,1993-05-01,Composite,5,383,,760,,Wet,0.4,,,0.4
Catostomus,commersoni,Whole body,44.92361,-68.26639,1993-05-01,Composite,5,398,,754,,Wet,0.19,0.27142,,0.27142
Micropterus,dolomieui,"Fillet, skin off",45.66111,-68.305,1993-07-01,Composite,5,345,,554,,Wet,1.12,,,1.12
Micropterus,dolomieui,Whole body,45.66111,-68.305,1993-07-01,Composite,5,310,,414,,Wet,0.7,1,,1
Catostomus,commersoni,Whole body,45.66111,-68.305,1993-07-01,Composite,5,366,,540,,Wet,0.21,0.3,,0.3
Salmo,salar,"Fillet, skin off",47.08778,-68.30889,1993-10-01,Composite,5,439,,872,,Wet,0.39,,,0.39
Salmo,salar,Whole body,47.08778,-68.30889,1993-10-01,Composite,5,439,,846,,Wet,0.47,0.67142,,0.67142
Catostomus,commersoni,Whole body,47.08778,-68.30889,1993-10-01,Composite,5,434,,592,,Wet,0.21,0.3,,0.3
Micropterus,dolomieui,Whole body,44.32556,-68.3975,1993-06-01,Composite,3,389,,853,,Wet,1.8,2.57143,,2.57143
Micropterus,dolomieui,"Fillet, skin off",44.32556,-68.3975,1993-06-01,Composite,4,418,,1015,,Wet,2.5,,,2.5
Catostomus,commersoni,Whole body,44.32556,-68.3975,1993-06-01,Composite,5,400,,662,,Wet,0.12,0.17142,,0.17142
Salvelinus,fontinalis,"Fillet, skin off",46.28778,-68.43028,1993-06-01,Composite,4,257,,220,,Wet,0.43,,,0.43
Salvelinus,fontinalis,Whole body,46.28778,-68.43028,1993-06-01,Composite,5,234,,161,,Wet,0.51,0.72857,,0.72857
Catostomus,commersoni,Whole body,46.28778,-68.43028,1993-06-01,Composite,5,398,,651,,Wet,0.15,0.21428,,0.21428
Micropterus,dolomieui,Whole body,44.59389,-68.4375,1993-06-01,Composite,2,339,,490,,Wet,0.75,1.07143,,1.07143
Micropterus,dolomieui,"Fillet, skin off",44.59389,-68.4375,1993-06-01,Composite,3,306,,368,,Wet,0.71,,,0.71
Catostomus,commersoni,Whole body,44.59389,-68.4375,1993-06-01,Composite,5,376,,518,,Wet,0.83,1.18571,,1.18571
Micropterus,dolomieui,"Fillet, skin off",45.34028,-68.44361,1993-05-01,Composite,5,332,,551,,Wet,0.71,,,0.71
Micropterus,dolomieui,Whole body,45.34028,-68.44361,1993-06-01,Composite,5,344,,577,,Wet,0.72,1.02857,,1.02857
Catostomus,commersoni,Whole body,45.34028,-68.44361,1993-06-01,Composite,5,430,,979,,Wet,0.069,0.09857,,0.09857
Salvelinus,fontinalis,"Fillet, skin off",46.93611,-68.51972,1993-05-01,Composite,2,286,,278,,Wet,0.08,,,0.08
Salvelinus,fontinalis,Whole body,46.93611,-68.51972,1993-05-01,Composite,2,289,,270,,Wet,0.16,0.22857,,0.22857
Salvelinus,fontinalis,"Fillet, skin off",47.11972,-68.52194,1993-05-01,Composite,5,258,,195,,Wet,0.37,,,0.37
Salvelinus,fontinalis,Whole body,47.11972,-68.52194,1993-05-01,Composite,5,263,,177,,Wet,0.94,1.34286,,1.34286
Catostomus,commersoni,Whole body,47.11972,-68.52194,1993-05-01,Composite,5,365,,463,,Wet,0.11,0.15714,,0.15714
Salvelinus,fontinalis,"Fillet, skin off",44.74472,-68.52806,1993-06-01,Composite,5,300,,344,,Wet,0.41,,,0.41
Salvelinus,fontinalis,Whole body,44.74472,-68.52806,1993-06-01,Composite,5,277,,254,,Wet,0.25,0.35714,,0.35714
Catostomus,commersoni,Whole body,44.74472,-68.52806,1993-06-01,Composite,5,379,,582,,Wet,0.13,0.18571,,0.18571
Lota,lota,"Fillet, skin off",47.04,-68.55278,1993-07-01,Composite,5,464,,736,,Wet,0.44,,,0.44
Catostomus,commersoni,Whole body,47.04,-68.55278,1993-07-01,Composite,5,416,,666,,Wet,0.3,0.42857,,0.42857
Lota,lota,Whole body,47.04,-68.55278,1993-07-01,Composite,5,460,,742,,Wet,0.27,0.38571,,0.38571
Salmo,salar,"Fillet, skin off",46.08583,-68.56389,1993-09-01,Composite,5,411,,603,,Wet,0.47,,,0.47
Salmo,salar,Whole body,46.08583,-68.56389,1993-09-01,Composite,5,383,,560,,Wet,0.36,0.51428,,0.51428
Catostomus,commersoni,Whole body,46.08583,-68.56389,1993-09-01,Composite,5,416,,678,,Wet,0.2,0.28571,,0.28571
Morone,americana,"Fillet, skin off",44.58806,-68.59778,1993-06-01,Composite,5,301,,344,,Wet,0.68,,,0.68
Morone,americana,Whole body,44.58806,-68.59778,1993-06-01,Composite,5,351,,554,,Wet,1.2,1.71429,,1.71429
Catostomus,commersoni,Whole body,44.58806,-68.59778,1993-06-01,Composite,5,465,,906,,Wet,0.16,0.22857,,0.22857
Salvelinus,fontinalis,"Fillet, skin off",46.09722,-68.67583,1993-07-01,Composite,5,317,,348,,Wet,0.62,,,0.62
Salvelinus,fontinalis,Whole body,46.09722,-68.67583,1993-07-01,Composite,5,297,,310,,Wet,0.61,0.87142,,0.87142
Catostomus,commersoni,Whole body,46.09722,-68.67583,1993-07-01,Composite,5,323,,318,,Wet,0.2,0.28571,,0.28571
Micropterus,salmoides,Whole body,44.46333,-68.67583,1993-05-01,Composite,4,307,,551,,Wet,0.75,1.07143,,1.07143
Micropterus,salmoides,"Fillet, skin off",44.46333,-68.67583,1993-05-01,Composite,5,277,,269,,Wet,0.49,,,0.49
Catostomus,commersoni,Whole body,44.46333,-68.67583,1993-05-01,Composite,5,420,,793,,Wet,0.244,0.34857,,0.34857
Micropterus,dolomieui,"Fillet, skin off",45.39083,-68.67861,1993-06-01,Composite,5,325,,526,,Wet,0.58,,,0.58
Micropterus,dolomieui,Whole body,45.39083,-68.67861,1993-06-01,Composite,5,383,,786,,Wet,0.56,0.8,,0.8
Catostomus,commersoni,Whole body,45.39083,-68.67861,1993-06-01,Composite,5,458,,1200,,Wet,0.47,0.67142,,0.67142
Salvelinus,fontinalis,Whole body,46.45361,-68.70333,1993-05-01,Composite,4,296,,299,,Wet,0.23,0.32857,,0.32857
Salvelinus,fontinalis,"Fillet, skin off",46.45361,-68.70333,1993-05-01,Composite,5,317,,348,,Wet,0.25,,,0.25
Catostomus,commersoni,Whole body,46.45361,-68.70333,1993-05-01,Composite,5,406,,690,,Wet,0.35,0.5,,0.5
Salmo,salar,"Fillet, skin off",46.15278,-68.72167,1993-09-01,Composite,2,395,,800,,Wet,0.24,,,0.24
Salmo,salar,Whole body,46.15278,-68.72167,1993-09-01,Composite,2,438,,790,,Wet,0.4,0.57142,,0.57142
Catostomus,commersoni,Whole body,46.15278,-68.72167,1993-09-01,Composite,5,379,,536,,Wet,0.072,0.10285,,0.10285
Esox,niger,"Fillet, skin off",44.72972,-68.735,1993-06-01,Composite,5,382,,342,,Wet,0.96,,,0.96
Esox,niger,Whole body,44.72972,-68.735,1993-06-01,Composite,5,376,,308,,Wet,0.47,0.67142,,0.67142
Catostomus,commersoni,Whole body,44.72972,-68.735,1993-06-01,Composite,5,494,,1406,,Wet,0.24,0.34285,,0.34285
Morone,americana,"Fillet, skin off",44.64583,-68.74444,1993-09-01,Composite,4,219,,155,,Wet,0.77,,,0.77
Morone,americana,Whole body,44.64583,-68.74444,1993-09-01,Composite,5,269,,286,,Wet,1.07,1.52857,,1.52857
Catostomus,commersoni,Whole body,44.64583,-68.74444,1993-09-01,Composite,5,416,,830,,Wet,0.24,0.34285,,0.34285
Morone,americana,"Fillet, skin off",45.52056,-68.80889,1993-06-01,Composite,4,291,,353,,Wet,0.91,,,0.91
Morone,americana,Whole body,45.52056,-68.80889,1993-06-01,Composite,4,288,,334,,Wet,0.64,0.91428,,0.91428
Catostomus,commersoni,Whole body,45.52056,-68.80889,1993-05-01,Composite,5,414,,722,,Wet,0.53,0.75714,,0.75714
Salvelinus,namaycush,"Fillet, skin off",46.93361,-68.89167,1993-07-01,Composite,5,391,,511,,Wet,0.11,,,0.11
Salvelinus,namaycush,Whole body,46.93361,-68.89167,1993-07-01,Composite,5,399,,576,,Wet,0.39,0.55714,,0.55714
Catostomus,commersoni,Whole body,46.93361,-68.89167,1993-07-01,Composite,5,260,,206,,Wet,0.17,0.24285,,0.24285
Salvelinus,fontinalis,"Fillet, skin off",46.89111,-68.89611,1993-06-01,Composite,2,225,,108,,Wet,0.13,,,0.13
Catostomus,commersoni,Whole body,46.89111,-68.89611,1993-06-01,Composite,5,390,,656,,Wet,0.067,0.09571,,0.09571
Salvelinus,fontinalis,"Fillet, skin off",46.50917,-68.905,1993-06-01,Composite,5,291,,294,,Wet,0.48,,,0.48
Salvelinus,fontinalis,Whole body,46.50917,-68.905,1993-06-01,Composite,5,260,,201,,Wet,0.42,0.6,,0.6
Catostomus,commersoni,Whole body,46.50917,-68.905,1993-06-01,Composite,5,195,,75,,Wet,0.3,0.42857,,0.42857
Pomoxis,nigromaculatus,Whole body,44.77361,-68.94306,1993-06-01,Composite,4,248,,180,,Wet,1.3,1.85714,,1.85714
Pomoxis,nigromaculatus,"Fillet, skin off",44.77361,-68.94306,1993-06-01,Composite,5,215,,139,,Wet,0.18,,,0.18
Catostomus,commersoni,Whole body,44.77361,-68.94306,1993-06-01,Composite,5,380,,588,,Wet,0.09,0.12857,,0.12857
Salvelinus,fontinalis,"Fillet, skin off",46.245,-69.03167,1993-06-01,Composite,2,283,,260,,Wet,0.36,,,0.36
Perca,flavescens,Whole body,46.245,-69.03167,1993-06-01,Composite,4,218,,125,,Wet,0.71,1.01429,,1.01429
Catostomus,commersoni,Whole body,46.245,-69.03167,1993-06-01,Composite,5,351,,418,,Wet,0.17,0.24285,,0.24285
Salmo,salar,"Fillet, skin off",46.40722,-69.03833,1993-10-01,Composite,5,360,,339,,Wet,0.43,,,0.43
Catostomus,commersoni,Whole body,46.40722,-69.03833,1993-10-01,Composite,5,459,,891,,Wet,0.41,0.58571,,0.58571
Salmo,salar,Whole body,46.40722,-69.03833,1993-10-01,Composite,5,337,,299,,Wet,0.38,0.54285,,0.54285
Micropterus,dolomieui,"Fillet, skin off",44.33722,-69.04,1993-06-01,Composite,5,299,,330,,Wet,0.67,,,0.67
Micropterus,dolomieui,Whole body,44.33722,-69.04,1993-06-01,Composite,5,297,,360,,Wet,0.57,0.81428,,0.81428
Catostomus,commersoni,Whole body,44.33722,-69.04,1993-06-01,Composite,5,427,,937,,Wet,0.18,0.25714,,0.25714
Salvelinus,namaycush,Whole body,45.75111,-69.07861,1993-08-01,Composite,1,555,,1730,,Wet,0.21,0.3,,0.3
Salvelinus,namaycush,"Fillet, skin off",45.75111,-69.07861,1993-08-01,Composite,2,536,,1630,,Wet,0.43,,,0.43
Catostomus,commersoni,Whole body,45.75111,-69.07861,1993-08-01,Composite,5,428,,754,,Wet,0.24,0.34285,,0.34285
Micropterus,salmoides,"Fillet, skin off",44.21472,-69.12889,1994-06-01,Composite,3,290,,378,,Wet,0.071,,,0.071
Micropterus,salmoides,Whole body,44.21472,-69.12889,1994-06-01,Composite,3,255,,213,,Wet,0.36,0.51428,,0.51428
Catostomus,commersoni,Whole body,44.21472,-69.12889,1993-06-01,Composite,5,429,,859,,Wet,0.069,0.09857,,0.09857
Morone,americana,"Fillet, skin off",44.51333,-69.13083,1993-06-01,Composite,5,318,,435,,Wet,0.55,,,0.55
Morone,americana,Whole body,44.51333,-69.13083,1993-06-01,Composite,5,301,,376,,Wet,0.37,0.52857,,0.52857
Catostomus,commersoni,Whole body,44.51333,-69.13083,1993-06-01,Composite,5,458,,1100,,Wet,0.17,0.24285,,0.24285
Salvelinus,fontinalis,"Fillet, skin off",46.25861,-69.1575,1993-06-01,Composite,5,316,,298,,Wet,0.57,,,0.57
Salvelinus,fontinalis,Whole body,46.25861,-69.1575,1993-06-01,Composite,5,317,,296,,Wet,0.68,0.97142,,0.97142
Catostomus,commersoni,Whole body,46.25861,-69.1575,1993-06-01,Composite,5,361,,466,,Wet,0.2,0.28571,,0.28571
Salvelinus,namaycush,"Fillet, skin off",45.74528,-69.19,1993-08-01,Composite,5,411,,582,,Wet,0.41,,,0.41
Catostomus,commersoni,Whole body,45.74528,-69.19,1993-08-01,Composite,5,373,,446,,Wet,0.59,0.84285,,0.84285
Salvelinus,namaycush,Whole body,45.74528,-69.19,1993-08-01,Composite,5,429,,682,,Wet,0.51,0.72857,,0.72857
Salvelinus,fontinalis,"Fillet, skin off",45.63056,-69.20833,1994-06-01,Composite,2,306,,255,,Wet,0.025,,,0.025
Micropterus,salmoides,"Fillet, skin off",44.74056,-69.225,1993-06-01,Composite,4,348,,549,,Wet,0.51,,,0.51
Micropterus,salmoides,Whole body,44.74056,-69.225,1993-06-01,Composite,4,347,,598,,Wet,0.54,0.77142,,0.77142
Catostomus,commersoni,Whole body,44.74056,-69.225,1993-06-01,Composite,5,440,,1004,,Wet,0.11,0.15714,,0.15714
Salvelinus,fontinalis,"Fillet, skin off",45.345,-69.24556,1993-06-01,Composite,5,278,,236,,Wet,0.49,,,0.49
Salvelinus,fontinalis,Whole body,45.345,-69.24556,1993-06-01,Composite,5,283,,256,,Wet,0.44,0.62857,,0.62857
Catostomus,commersoni,Whole body,45.345,-69.24556,1993-06-01,Composite,5,355,,434,,Wet,0.15,0.21428,,0.21428
Morone,americana,"Fillet, skin off",44.25722,-69.26639,1994-06-01,Composite,3,183,,58,,Wet,0.41,,,0.41
Morone,americana,Whole body,44.25722,-69.26639,1994-06-01,Composite,4,198,,75,,Wet,0.71,1.01429,,1.01429
Catostomus,commersoni,Whole body,44.25722,-69.26639,1993-08-01,Composite,5,430,,839,,Wet,0.42,0.6,,0.6
Perca,flavescens,"Fillet, skin off",44.70389,-69.2725,1993-06-01,Composite,5,236,,155,,Wet,0.29,,,0.29
Perca,flavescens,Whole body,44.70389,-69.2725,1993-06-01,Composite,5,236,,153,,Wet,0.25,0.35714,,0.35714
Catostomus,commersoni,Whole body,44.70389,-69.2725,1993-06-01,Composite,5,393,,671,,Wet,0.017,0.02428,,0.02428
Salvelinus,fontinalis,"Fillet, skin off",45.67611,-69.27667,1993-06-01,Composite,5,302,,236,,Wet,0.22,,,0.22
Salvelinus,fontinalis,Whole body,45.67611,-69.27667,1993-06-01,Composite,5,283,,202,,Wet,0.33,0.47142,,0.47142
Catostomus,commersoni,Whole body,45.67611,-69.27667,1993-06-01,Composite,5,321,,308,,Wet,0.1,0.14285,,0.14285
Salvelinus,fontinalis,"Fillet, skin off",45.77861,-69.28472,1993-06-01,Composite,5,340,,400,,Wet,0.36,,,0.36
Salvelinus,fontinalis,Whole body,45.77861,-69.28472,1993-06-01,Composite,5,344,,448,,Wet,0.42,0.6,,0.6
Catostomus,commersoni,Whole body,45.77861,-69.28472,1993-06-01,Composite,5,301,,252,,Wet,0.028,0.04,,0.04
Micropterus,dolomieui,"Fillet, skin off",44.20083,-69.29333,1993-06-01,Composite,1,305,,375,,Wet,0.57,,,0.57
Micropterus,dolomieui,Whole body,44.20083,-69.29333,1993-06-01,Composite,1,414,,925,,Wet,0.77,1.1,,1.1
Catostomus,commersoni,Whole body,44.20083,-69.29333,1993-05-01,Composite,5,423,,757,,Wet,0.2,0.28571,,0.28571
Salvelinus,fontinalis,Whole body,46.44472,-69.30278,1993-05-01,Composite,4,289,,238,,Wet,0.37,0.52857,,0.52857
Salvelinus,fontinalis,"Fillet, skin off",46.44472,-69.30278,1993-05-01,Composite,5,269,,202,,Wet,0.26,,,0.26
Catostomus,commersoni,Whole body,46.44472,-69.30278,1993-05-01,Composite,5,382,,584,,Wet,0.17,0.24285,,0.24285
Perca,flavescens,"Fillet, skin off",44.96917,-69.32583,1993-06-01,Composite,5,229,,129,,Wet,0.19,,,0.19
Perca,flavescens,Whole body,44.96917,-69.32583,1993-06-01,Composite,5,224,,142,,Wet,0.16,0.22857,,0.22857
Catostomus,commersoni,Whole body,44.96917,-69.32583,1993-06-01,Composite,5,467,,1214,,Wet,0.074,0.10571,,0.10571
Micropterus,dolomieui,Whole body,44.41333,-69.38556,1993-06-01,Composite,2,358,,553,,Wet,0.48,0.68571,,0.68571
Micropterus,dolomieui,"Fillet, skin off",44.41333,-69.38556,1993-06-01,Composite,3,247,,275,,Wet,0.66,,,0.66
Catostomus,commersoni,Whole body,44.41333,-69.38556,1993-06-01,Composite,3,463,,1297,,Wet,0.12,0.17142,,0.17142
Catostomus,commersoni,Whole body,44.4025,-69.39861,1993-06-01,Composite,2,434,,940,,Wet,0.16,0.22857,,0.22857
Micropterus,salmoides,"Fillet, skin off",44.4025,-69.39861,1993-06-01,Composite,5,316,,389,,Wet,0.43,,,0.43
Micropterus,salmoides,Whole body,44.4025,-69.39861,1993-06-01,Composite,5,322,,429,,Wet,0.36,0.51428,,0.51428
Salvelinus,fontinalis,"Fillet, skin off",45.36861,-69.41389,1993-06-01,Composite,3,309,,260,,Wet,0.24,,,0.24
Catostomus,commersoni,Whole body,45.36861,-69.41389,1993-06-01,Composite,5,342,,410,,Wet,0.044,0.06285,,0.06285
Salvelinus,fontinalis,"Fillet, skin off",45.86694,-69.42694,1993-06-01,Composite,1,316,,350,,Wet,0.67,,,0.67
Salvelinus,fontinalis,Whole body,45.86694,-69.42694,1993-06-01,Composite,1,283,,210,,Wet,0.58,0.82857,,0.82857
Catostomus,commersoni,Whole body,45.86694,-69.42694,1993-06-01,Composite,5,386,,610,,Wet,0.12,0.17142,,0.17142
Salmo,salar,"Fillet, skin off",44.17917,-69.475,1993-10-01,Composite,4,440,,763,,Wet,0.21,,,0.21
Salmo,salar,Whole body,44.17917,-69.475,1993-10-01,Composite,4,409,,650,,Wet,0.22,0.31428,,0.31428
Catostomus,commersoni,Whole body,44.17917,-69.475,1993-10-01,Composite,5,362,,548,,Wet,0.22,0.31428,,0.31428
Micropterus,salmoides,Whole body,44.25389,-69.53028,1993-06-01,Composite,3,356,,585,,Wet,0.94,1.34286,,1.34286
Micropterus,salmoides,"Fillet, skin off",44.25389,-69.53028,1993-05-01,Composite,4,322,,489,,Wet,0.82,,,0.82
Catostomus,commersoni,Whole body,44.25389,-69.53028,1993-05-01,Composite,5,371,,555,,Wet,0.32,0.45714,,0.45714
Catostomus,commersoni,Whole body,45.47611,-69.55556,1993-05-01,Composite,5,380,,570,,Wet,0.12,0.17142,,0.17142
Salvelinus,fontinalis,"Fillet, skin off",45.74278,-69.55861,1993-06-01,Composite,3,271,,190,,Wet,0.14,,,0.14
Salvelinus,fontinalis,Whole body,45.74278,-69.55861,1993-06-01,Composite,3,312,,287,,Wet,0.13,0.18571,,0.18571
Catostomus,commersoni,Whole body,45.74278,-69.55861,1993-06-01,Composite,5,368,,456,,Wet,0.002,0.00285,,0.00285
Morone,americana,"Fillet, skin off",44.53361,-69.56361,1993-06-01,Composite,5,234,,167,,Wet,0.38,,,0.38
Morone,americana,Whole body,44.53361,-69.56361,1993-06-01,Composite,5,240,,176,,Wet,0.55,0.78571,,0.78571
Catostomus,commersoni,Whole body,44.53361,-69.56361,1993-06-01,Composite,5,388,,677,,Wet,0.17,0.24285,,0.24285
Catostomus,commersoni,Whole body,45.32667,-69.58306,1993-06-01,Composite,5,418,,688,,Wet,0.16,0.22857,,0.22857
Salmo,salar,"Fillet, skin off",45.11056,-69.65528,1993-10-01,Composite,5,402,,558,,Wet,0.34,,,0.34
Salmo,salar,Whole body,45.11056,-69.65528,1993-10-01,Composite,5,422,,652,,Wet,0.55,0.78571,,0.78571
Catostomus,commersoni,Whole body,45.11056,-69.65528,1993-10-01,Composite,5,537,,1652,,Wet,0.34,0.48571,,0.48571
Salmo,trutta,"Fillet, skin off",44.32444,-69.65861,1993-07-01,Composite,5,444,,923,,Wet,0.12,,,0.12
Catostomus,commersoni,Whole body,44.32444,-69.65861,1993-09-01,Composite,5,367,,556,,Wet,0.251,0.35857,,0.35857
Salmo,trutta,Whole body,44.32444,-69.65861,1993-07-01,Composite,5,433,,876,,Wet,0.12,0.17142,,0.17142
Salmo,trutta,"Fillet, skin off",44.40361,-69.66472,1993-07-01,Composite,4,411,,871,,Wet,0.18,,,0.18
Salmo,trutta,Whole body,44.40361,-69.66472,1993-07-01,Composite,4,419,,941,,Wet,0.34,0.48571,,0.48571
